Address,Latitude,Longitude
"AH Frieswijkstraat 72, Nijkerk";"52.2165425";"5.4778534"
"Belemnieterf";"50.91414";"5.95549"
"AH  Stationsplein 7, Hilversum";"52.22667";"5.1811"
"De Brooodzaak, Stationsplein 1, 2011 LR Haarlem";"52.3878359";"4.6371779"
"McDonald's, Promenade 30, Zoetermeer";"52.0611478";"4.4875588"
"EM-TE, PANNENSCHUURPLEIN 32-40, 5061WP, OISTERWIJK";"51.5829768";"5.1764954"
"Tesco: Banbury Rd 47, CV37, Stratford-upon-Avon, United Kingdom";"52.187709";"-1.692691"
"Kop van Het Ruim 1     , Dronten";"52.5259673";"5.719307"
"Nederland ASSEN - Rondgang 20";"53.0001983";"6.5146841"
"C1000, Pettelaarseweg 375-377, Den Bosch";"51.6798806";"5.3170226"
"Heermoesstraat, Arnhem";"51.964345";"5.8989"
"Tesco: High St 82, DE11, United Kingdom";"52.76725";"-1.53142"
"Febo, Langestraat 50-A, 7511 HC Enschede";"52.2198788";"6.8959664"
"Kruidvat:  STEENSTRAAT 71, BOXMEER";"51.647715";"5.9502954"
"H&M: 40-42 Southgate Street Southgate St BA1 1TG Bath";"51.3788468";"-2.3592111"
"JUMBO, SCHAKELPLEIN 16, 5408AW, VOLKEL";"51.644054";"5.6548692"
"Esso de Potde, Maasbreeseweg 29, 5981NZ Panningen";"51.3342487";"5.9963625"
"Dekamarkt, Blokhuis 47, Lisse";"52.2607102";"4.5586074"
"The  Read Shop Smilde, Veenhoopseweg 20A2, 9422AB Smilde";"52.9486111";"6.4483333"
"Deen, Dorpsstraat 70-72, Landsmeer";"52.4299872";"4.9136706"
"Caf� Daen, Grote Markt 23, Nijmegen";"51.847809";"5.8634111"
"Coop, Babborgaplein 1, Babberich";"51.9055491";"6.1174997"
"Boekhandel Kramer & Van Doorn, 1e Hogeweg 10 D, Zeist";"52.0857564";"5.240287"
"Dirk van den Broek, Hogepad 1-60, Rijssen";"52.3060726";"6.5215324"
"Rosmolen";"51.69261";"5.76773"
"Patrijzenstraat";"52.950175";"4.766285"
"Boots:   Great Northern Retail Pk HUDDERSFIELD West Yorkshire HD1 6ND GB";"53.6532628";"-1.7788258"
"Boots:   42-46 Effingham St Rotherham South Yorkshire S65 1AL GB";"53.4349974";"-1.3540565"
"Kantine  HVA Loc. Europahuis Amsterdam, James Wattstraat 79, 1097 DL Amsterdam";"52.349091";"4.9209035"
"Tesco: Prince of Wales Rd 56, NR1, Norwich, United Kingdom";"52.629481";"1.301858"
"Albert Heijn, Warmoesstraat 37, 9076DL Sint Annaparochie";"53.2752411";"5.6577379"
"Bakkerij Arno Nieuwehuyse: Snoekjessteeg 1, AMSTERDAM";"52.3705747";"4.9007062"
"Albert Heijn, Burgemeester Cortenstraat 8, Maastricht";"50.8440597";"5.7277659"
"Praxis, Saturnus 4, 3824 ME Amersfoort";"52.1991171";"5.3932421"
"Boots:   26 Chapel Walk Worcester Worcestershire WR1 3LD GB";"52.1920308";"-2.2222391"
"Saturn, Westenhellweg 70-84, Dortmund";"51.5133835";"7.4613312"
"C1000, SPUISTR 3, 4697 BB, ST ANNALAND";"51.6019565";"4.105881"
"Frituur 'T Pat?tje, Rupelmondestraat 26, BAZEL";"51.1462912";"4.2979291"
"Dekamarkt,  Oranjeboomstraat 126,2013 WC Haarlem";"52.3803504";"4.6226071"
"Kantine  Hogeschool Leiden, Zernikedreef 11, 2333 CK Leiden";"52.1673537";"4.468652"
"Mediamarkt, Buikslotermeerplein 226, Amsterdam";"52.3989952";"4.937991"
"Carrefour Supermarket: Nati�nlaan 77, Knokke, 8300";"51.3363886";"3.2889523"
"Van Heijdenstraat 17, Lichtenvoorde";"51.9861606";"6.5622311"
"Buitenmuur kantoor: Dreef 40, Haarlem";"52.3704696";"4.6284409"
"Dirk van den Broek, Vuldersbrink 64, Harderwijk";"52.3497881";"5.6203428"
"INTERSPORT TASTA, Tastatunet 1-3, Stavanger";"58.9829236";"5.6738134"
"EMT?? Molenstraat 1, Sint Anthonis";"51.62613";"5.88097"
